# REAL experimental data. Source: Reizman, B. J.; Jensen, K. F. React. Chem. Eng. 2016, 1, 658-666.
# DOI: 10.1039/C6RE00153J. Mirrored verbatim from sustainable-processes/summit
# (github.com/sustainable-processes/summit, summit/benchmarks/data/reizman_suzuki_case_{1..4}.csv),
# which itself vendors the closed-loop Suzuki-Miyaura optimization campaign data published by Reizman & Jensen.
# case: 1-4, one of four substrate-pair sub-campaigns reported in the paper (same 7 candidate
#   catalyst/ligand combinations tested in each case: P1-L1..L7 = Pd precatalyst P1 with ligands L1-L7,
#   P2-L1 = Pd precatalyst P2 with ligand L1).
# catalyst: categorical, ligand/precatalyst combination (8 levels: P1-L1..P1-L7, P2-L1).
# t_res: continuous, residence time in the flow reactor, seconds (range ~60-600 s).
# temperature: continuous, reactor temperature, degrees C (range ~30-110 C).
# catalyst_loading: continuous, mol % catalyst loading (range ~0.5-2.5 mol%).
# ton: turnover number (observed), reported as in the original data; not used as the optimization target.
# yld: reaction yield, % (0-100). This is the response variable used for BO (normalized to [0,1] by the
#   notebook's loader by dividing by the max yield observed in this dataset).
case,name,catalyst,t_res,temperature,catalyst_loading,ton,yld
2,0,P1-L6,600,110,2.49,0,0.1
2,1,P1-L5,60,110,0.51,0.2,0.1
2,2,P1-L4,60,110,0.498,0.2,0.1
2,3,P1-L7,600,110,2.489,2.3,5.7
2,4,P1-L1,60,110,2.516,2.5,6.4
2,5,P1-L2,60,110,2.516,4.4,11
2,6,P1-L3,600,110,0.512,0.2,0.1
2,7,P2-L1,600,110,0.507,0.2,0.1
2,8,P1-L5,600,30,2.492,0,0.1
2,9,P1-L4,600,30,2.516,0.2,0.5
2,10,P1-L7,60,30,0.509,0.2,0.1
2,11,P1-L6,60,30,0.492,0.2,0.1
2,12,P1-L1,600,30,0.509,0.2,0.1
2,13,P1-L3,60,30,2.505,0,0.1
2,14,P2-L1,60,30,2.509,0,0.1
2,15,P1-L2,600,30,0.492,0.2,0.1
2,16,P2-L1,60,65.3,1.121,0.3,0.4
2,17,P1-L4,189.7,65.3,2.516,0.4,1
2,18,P1-L5,60,65.3,2.492,0,0.1
2,19,P1-L1,189.7,65.3,1.131,5.2,5.9
2,20,P1-L6,60,65.3,1.122,0.1,0.1
2,21,P1-L7,60,65.3,1.131,0.1,0.1
2,22,P1-L3,60,65.3,2.505,4.7,11.8
2,23,P1-L6,189.7,110,2.49,0,0.1
2,24,P1-L5,189.7,110,1.111,7.2,8.2
2,25,P1-L2,60,110,2.516,4.6,11.5
2,26,P1-L3,189.7,110,1.131,9.2,10.5
2,27,P2-L1,189.7,110,2.509,2.1,5.2
2,28,P1-L1,60,110,2.516,5.4,13.5
2,29,P1-L7,189.7,110,2.489,4.6,11.7
2,30,P1-L2,339.6,110,2.516,6.4,16.1
2,31,P1-L4,351.3,110,2.516,1,2.4
2,32,P1-L1,340.3,110,2.516,6.5,16.3
2,33,P1-L7,600,33.8,2.489,0,0.1
2,34,P1-L3,600,30,2.047,0.1,0.1
2,35,P1-L7,149,110,2.489,11.2,28.1
2,36,P1-L5,156.7,110,2.492,6.5,16.4
2,37,P1-L3,162.3,110,2.505,6.7,16.9
2,38,P1-L1,172.3,107.8,2.516,7.9,19.9
2,39,P1-L2,177.6,95.1,2.516,5.2,13
2,40,P1-L1,222.1,110,0.792,10.9,8.5
2,41,P1-L2,192.5,110,2.169,5.4,11.6
2,42,P1-L7,155.6,110,1.923,2.8,5.4
2,43,P1-L5,184.7,110,2.011,9.1,18.6
2,44,P1-L3,262.1,56.1,0.754,7,5.5
2,45,P1-L3,203.4,81.9,2.505,7.2,18
2,46,P1-L2,190,93.8,2.516,5.6,14.2
2,47,P1-L5,184.5,110,2.492,7.2,18.1
2,48,P1-L1,213.2,110,2.516,9.8,24.6
2,49,P1-L7,157.7,110,2.489,2.7,6.8
2,50,P1-L1,261,110,2.516,10.3,26
2,51,P1-L5,206.5,110,2.492,9.7,24.5
2,52,P1-L3,198.4,100.7,2.505,6.9,17.3
2,53,P1-L2,600,110,1.938,8.3,15.9
2,54,P1-L3,600,110,1.993,9.4,18.5
2,55,P1-L1,600,110,1.781,13.3,24
2,56,P1-L5,600,110,1.951,15.5,30.6
2,57,P1-L5,600,110,1.951,15.3,30.2
2,58,P1-L1,600,110,1.385,14.7,20.2
2,59,P1-L3,375.4,97.2,1.94,8.8,16.9
2,60,P1-L3,600,103.3,2.505,8.9,22.3
2,61,P1-L1,600,110,2.516,13,32.6
2,62,P1-L5,600,110,2.011,19.7,40.1
2,63,P1-L5,600,110,2.492,16.7,42
2,64,P1-L1,60,30,2.516,0,0.1
2,65,P1-L1,60,30,2.516,0.2,0.4
2,66,P1-L5,600,110,2.492,18.9,47.6
2,67,P1-L1,600,47.1,2.516,16.6,41.9
2,68,P1-L5,600,71,2.492,0,0.1
2,69,P1-L5,600,110,2.492,16.7,42
2,70,P1-L2,600,39.8,2.516,0.4,1.1
2,71,P1-L3,600,38.1,2.505,1.8,4.6
2,72,P1-L1,600,61,2.516,5.6,14.2
2,73,P1-L3,600,69.4,2.505,9.7,24.4
2,74,P1-L1,600,63,2.516,6.3,15.7
2,75,P1-L1,600,110,2.516,5.6,14
2,76,P1-L5,600,110,2.492,18.1,45.4
2,77,P1-L5,600,110,2.492,15.2,38.4
2,78,P1-L5,600,110,1.711,15.1,26.2
2,79,P1-L1,600,110,2.516,6.8,17.2
2,80,P1-L5,600,110,2.492,16.3,41.1
2,81,P1-L1,600,110,2.516,6.8,17.1
2,82,P1-L5,600,110,2.492,18,45.2
2,83,P1-L5,600,110,1.771,19.4,34.8
2,84,P1-L1,600,30,2.488,1,2.5
2,85,P1-L1,600,30,2.488,1.3,3.2
2,86,P1-L5,600,110,2.492,17.5,44
2,87,P1-L5,600,110,1.921,20.3,38.9
2,88,P1-L5,370.2,110,2.492,11.1,28
2,89,P1-L2,189.7,65.3,1.128,7.8,8.9
2,90,P1-L1,600,110,2.516,7,17.7
2,91,P1-L4,60,110,1.106,0.3,0.4
2,92,P1-L3,600,110,2.505,10,25
2,93,P1-L7,166.9,110,2.489,4.3,10.8
2,94,P2-L1,600,33.4,2.509,0.5,1.2
2,95,P1-L6,600,30,2.49,0,0.1
3,0,P1-L4,60,30,2.513,0.1,0.2
3,1,P1-L1,60,30,0.51,0.3,0.2
3,2,P1-L5,600,30,2.511,0.1,0.2
3,3,P1-L6,60,30,0.499,0.3,0.2
3,4,P1-L7,600,30,0.501,0.3,0.2
3,5,P1-L3,60,30,2.512,0.1,0.2
3,6,P2-L1,600,30,0.509,0.3,0.2
3,7,P2-L1,60,110,2.515,32.8,82.6
3,8,P1-L5,60,110,0.508,0.3,0.2
3,9,P1-L4,600,110,0.514,0.3,0.2
3,10,P1-L6,600,110,2.496,0.1,0.2
3,11,P1-L3,600,110,0.503,50.6,25.4
3,12,P1-L7,60,110,2.504,16.9,42.2
3,13,P1-L2,60,110,0.51,46.3,23.6
3,14,P1-L1,600,110,2.493,36.6,91.3
3,15,P1-L3,189.7,110,1.117,77.4,86.5
3,16,P2-L1,189.7,110,2.515,34.3,86.4
3,17,P1-L6,189.7,110,2.496,0.1,0.2
3,18,P1-L5,60,110,1.106,4,4.4
3,19,P1-L1,189.7,110,2.493,31.6,78.8
3,20,P1-L2,60,110,2.494,34.7,86.7
3,21,P1-L7,60,110,2.504,19.9,49.9
3,22,P1-L2,189.7,65.3,1.106,3.9,4.3
3,23,P1-L5,189.7,65.3,2.511,2,5.1
3,24,P1-L1,60,65.3,1.105,6.9,7.6
3,25,P1-L3,60,65.3,2.512,8.8,22.1
3,26,P1-L4,60,65.3,2.513,0.3,0.7
3,27,P2-L1,60,65.3,1.13,6.1,6.9
3,28,P1-L4,600,105.1,2.513,1.6,4.1
3,29,P1-L1,600,110,2.352,32.6,76.6
3,30,P1-L2,600,110,2.438,33,80.3
3,31,P1-L3,600,110,2.317,37.7,87.4
3,32,P2-L1,600,110,2.345,34.3,80.3
3,33,P1-L7,600,110,2.393,20.9,49.9
3,34,P1-L5,600,48.3,0.748,0.2,0.2
3,35,P1-L7,124.3,110,1.113,9.8,10.9
3,36,P1-L2,202.9,110,1.219,51.4,62.6
3,37,P2-L1,160.9,110,1.074,55.6,59.7
3,38,P1-L1,123.2,110,1.105,77.6,85.8
3,39,P1-L3,600,83.8,1.061,48.6,51.7
3,40,P1-L7,60,110,1.419,24.8,35.1
3,41,P1-L2,60,110,1.672,53.1,88.8
3,42,P1-L3,60,110,1.312,59.8,78.4
3,43,P1-L1,60,110,1.417,61.8,87.5
3,44,P1-L2,186.8,110,2.494,30.3,75.4
3,45,P1-L1,149.9,110,2.493,32,79.8
3,46,P2-L1,186.8,103.6,2.515,33.2,83.4
3,47,P1-L3,179.9,110,2.512,34.4,86.5
3,48,P1-L1,60,110,1.502,56.6,85
3,49,P1-L2,60,110,1.927,43.6,84.2
3,50,P1-L3,137.9,110,1.312,60.6,79.4
3,51,P1-L3,60,110,1.647,49.5,81.4
3,52,P1-L1,177.6,110,1.048,77.4,81.1
3,53,P1-L2,188.8,110,1.446,49.5,71.5
3,54,P1-L3,211.9,110,1.368,59.9,82
3,55,P1-L2,239.7,110,1.332,51.2,68.2
3,56,P1-L1,253.3,110,1.048,83,87
3,57,P1-L1,108.9,110,1.275,65.3,83.3
3,58,P1-L2,66.6,110,2.409,35.8,86.4
3,59,P1-L3,192.1,110,1.731,48.1,83.3
3,60,P1-L1,221.3,110,1.077,75.9,81.7
3,61,P1-L2,192.7,110,1.871,41.5,77.7
3,62,P1-L1,180.1,110,1.303,65.1,84.9
3,63,P1-L2,144,110,1.899,44.5,84.6
3,64,P1-L3,146.6,110,2.038,43,87.7
3,65,P1-L1,60,110,2.493,34.4,85.9
3,66,P1-L3,101.5,110,1.926,46.9,90.4
3,67,P1-L2,60,110,2.126,38.3,81.4
3,68,P1-L1,218.5,110,1.105,80.8,89.4
3,69,P1-L2,135.7,110,1.814,40.5,73.5
3,70,P1-L1,600,110,0.935,85.6,79.9
3,71,P1-L3,147.9,110,1.591,52.1,82.9
3,72,P1-L2,162.9,110,1.701,40,68
3,73,P1-L3,162.1,110,1.675,53.8,90.1
3,74,P1-L1,600,110,1.218,74.3,90.6
3,75,P1-L3,600,110,1.424,49.3,70.1
3,76,P1-L2,600,110,1.417,66.4,94.1
3,77,P1-L3,60,110,1.926,45.4,87.6
3,78,P1-L2,60,110,1.757,44.3,77.9
3,79,P1-L3,600,110,1.787,45.3,81
3,80,P1-L2,600,110,1.616,52.3,84.5
3,81,P1-L1,600,110,1.303,64.4,84
3,82,P1-L1,600,110,1.218,65.4,79.6
3,83,P1-L2,600,110,1.587,47.2,75
3,84,P1-L3,600,110,1.787,43.6,78
3,85,P1-L3,60,40.2,0.503,0.3,0.2
3,86,P1-L3,60,40.1,0.503,0.3,0.2
3,87,P1-L3,229.2,110,1.619,49.6,80.1
3,88,P1-L2,600,30,2.494,0.1,0.2
3,89,P1-L7,189.7,65.3,1.113,0.7,0.8
3,90,P1-L5,600,71.7,1.196,0.1,0.2
3,91,P1-L3,92.2,110,1.787,50.5,90.2
3,92,P1-L1,600,110,1.09,80.1,87.3
3,93,P2-L1,60,110,1.413,31.1,43.9
3,94,P1-L6,60,65.3,1.109,0.1,0.2
3,95,P1-L4,189.7,110,1.114,2.6,2.9
4,0,P1-L6,600,110,2.504,11.7,29.4
4,1,P1-L5,600,110,2.499,21.4,53.6
4,2,P1-L7,60,110,2.491,9.5,23.7
4,3,P1-L3,60,110,0.502,129.2,64.8
4,4,P2-L1,600,110,0.506,99.3,50.3
4,5,P1-L2,600,110,0.511,107.8,55.1
4,6,P1-L4,60,110,0.489,32.4,15.8
4,7,P1-L1,60,110,2.501,37.6,94.1
4,8,P1-L1,600,30,0.5,2.9,1.5
4,9,P1-L5,60,30,0.5,0.2,0.1
4,10,P1-L4,600,30,2.492,4.6,11.5
4,11,P1-L2,60,30,2.507,0,0.1
4,12,P1-L3,600,30,2.51,2.7,6.9
4,13,P2-L1,600,65.3,2.508,38.1,95.5
4,14,P1-L1,600,65.3,1.12,65.3,73.1
4,15,P1-L6,189.7,65.3,1.127,1.3,1.4
4,16,P1-L4,600,65.3,2.492,29.7,74.1
4,17,P1-L2,189.7,65.3,2.507,36.4,91.3
4,18,P1-L7,600,65.3,1.126,0.7,0.8
4,19,P1-L3,189.7,65.3,1.123,60.8,68.3
4,20,P1-L5,189.7,65.3,1.131,1.3,1.5
4,21,P1-L1,189.7,110,2.501,34.9,87.2
4,22,P1-L6,600,110,2.504,16.1,40.4
4,23,P1-L3,600,110,2.51,32.8,82.2
4,24,P1-L7,189.7,110,2.491,11.6,28.8
4,25,P1-L2,600,110,1.12,72.2,80.9
4,26,P1-L5,600,110,2.499,25.7,64.3
4,27,P2-L1,189.7,110,1.109,80.6,89.4
4,28,P1-L5,114.7,110,1.079,31.4,33.9
4,29,P1-L6,114.7,110,1.077,21.4,23
4,30,P1-L7,250.1,110,0.982,26.8,26.3
4,31,P2-L1,150.3,71.6,1.037,27.7,28.7
4,32,P1-L2,145.8,81.2,1.071,74.9,80.2
4,33,P1-L4,226.1,69.5,1.148,8.1,9.2
4,34,P1-L3,326.4,109.2,0.932,96.1,89.6
4,35,P1-L1,168.9,89.8,0.858,100.7,86.4
4,36,P1-L1,600,61.9,2.501,37.8,94.4
4,37,P1-L2,227.6,101.6,2.507,33.6,84.1
4,38,P1-L4,600,83.7,2.492,35.9,89.4
4,39,P1-L3,600,75.7,2.51,36.1,90.5
4,40,P2-L1,182.6,104,2.508,34.1,85.5
4,41,P1-L2,600,61.5,1.387,59.5,82.6
4,42,P1-L1,600,106.8,1.215,72.5,88.1
4,43,P1-L3,600,84.7,1.793,48.3,86.5
4,44,P2-L1,600,96.5,1.977,41.3,81.8
4,45,P1-L5,600,110,1.236,34.8,43
4,46,P1-L2,600,73.7,2.507,35.1,88
4,47,P1-L3,134.4,110,1.53,55.8,85.3
4,48,P2-L1,196.1,91.7,2.05,42.1,86.2
4,49,P1-L1,227.9,106.5,0.786,108.5,85.3
4,50,P2-L1,260.4,88.2,2.098,40,83.9
4,51,P1-L2,600,80.8,1.996,47.6,95
4,52,P1-L3,169.1,98.5,2.056,39.4,81
4,53,P1-L1,236.9,105.3,0.739,106.8,78.9
4,54,P1-L1,60,70.4,1.715,39.1,67
4,55,P1-L3,60,82.1,2.295,40,91.8
4,56,P1-L2,60,85.6,2.507,34.5,86.6
4,57,P1-L1,600,97.7,0.715,115.4,82.5
4,58,P1-L2,600,72.8,1.314,66.2,87
4,59,P1-L1,299.9,73.5,2.501,39.9,99.8
4,60,P1-L3,237.1,95.6,1.554,51.4,79.9
4,61,P1-L2,600,87,1.801,46.9,84.6
4,62,P1-L2,196,110,1.412,59.9,84.5
4,63,P1-L1,202.8,108.8,1.358,49.5,67.3
4,64,P1-L2,205.1,76.3,1.655,50,82.7
4,65,P1-L1,222.9,74.7,1.572,51.9,81.6
4,66,P1-L1,167.6,73.2,2.287,38.4,87.9
4,67,P1-L2,200.4,75.8,1.947,50.7,98.7
4,68,P1-L2,600,84.2,2.507,35.5,88.9
4,69,P1-L3,600,98.2,2.51,33,82.8
4,70,P1-L1,600,97.7,2.501,33.5,83.8
4,71,P1-L2,600,70.7,1.144,69.3,79.3
4,72,P1-L3,149.9,93,2.51,33.6,84.2
4,73,P1-L1,600,96.7,0.739,105.3,77.8
4,74,P1-L3,216.2,105.7,1.386,61.7,85.6
4,75,P1-L1,600,97.3,0.715,118.5,84.7
4,76,P1-L1,600,88.6,0.977,87.6,85.6
4,77,P1-L2,600,77.4,1.193,66.2,78.9
4,78,P1-L3,126.4,97.6,2.51,28.9,72.6
4,79,P1-L2,276.4,69.3,2.507,39.7,99.5
4,80,P1-L1,60,110,0.643,129.4,83.2
4,81,P1-L1,60,110,0.667,105.1,70.1
4,82,P1-L2,258.2,71.6,2.507,33.7,84.5
4,83,P1-L2,211.7,104.7,1.193,65.2,77.8
4,84,P1-L1,113.3,110,1.12,81.4,91.1
4,85,P1-L2,600,58.7,2.507,34.4,86.3
4,86,P1-L1,60,110,1.096,86.3,94.5
4,87,P1-L2,600,72.4,2.507,33.7,84.4
4,88,P1-L1,60,110,0.977,55.5,54.2
4,89,P2-L1,60,30,2.508,1.6,4
4,90,P1-L6,60,30,0.501,0.2,0.1
4,91,P1-L2,600,77.2,1.314,67.3,88.4
4,92,P1-L3,319.6,94.9,1.171,71.4,83.6
4,93,P1-L4,189.7,110,1.124,50.6,56.9
4,94,P1-L5,60,108.5,2.499,19.4,48.4
4,95,P1-L7,600,30,0.503,0.2,0.1
4,96,P1-L1,154.1,110,1.096,80.9,88.6
