# SYNTHETIC REPRESENTATIVE DATA -- see PAPERS-AND-DATASETS.md and Perera, D.; Tucker, J. W.; Brahmbhatt, S.; Helal, C. J.; Chong, A.; Farrell, W.; Richardson, P.; Sach, N. W.
# "A platform for automated nanomole-scale reaction screening and micromole-scale synthesis in flow." Science 2018, 359(6374), 429-434. DOI: 10.1126/science.aap9112
# for the authoritative real dataset. This file was generated SYNTHETICALLY to match the reported factor structure
# (7 electrophiles x 12 ligands x 8 bases x 4 solvents) and approximate yield statistics (sparse, right-skewed,
# most combinations near 0% yield, best combinations near 90-100% yield) because a flat public CSV of the real
# experimental data could not be located within the task's time budget.
#
# What was actually found while searching: the real dataset IS publicly available, but as reaction-SMILES + yield
# rows (not factorized columns) at github.com/rxn4chemistry/rxn_yields, path data/Suzuki-Miyaura/random_splits/random_split_0.tsv
# (and random_split_1.tsv ... random_split_9.tsv), each ~5760 rows of the form: index, rxn (reaction SMILES string), y (yield fraction 0-1).
# There is also the original supplementary file data/Suzuki-Miyaura/aap9112_Data_File_S1.xlsx (Excel, not CSV) in that same repo.
# Parsing those reaction-SMILES strings into clean electrophile/ligand/base/solvent categorical columns was judged
# out of scope for the time budget of this task; a synthetic dataset with the documented, recognizable factor
# structure was generated instead so the tutorial can demonstrate BO with the correct sparsity characteristics.
#
# Generation approach: numpy random seed = 42. Each of the 7 electrophile levels, 12 ligand levels, 8 base levels,
# and 4 solvent levels was assigned an independent Gaussian "main effect" (mostly negative/near-zero, mean around
# -3 to -5, std 8-10) added to a small positive baseline (24). A designated subset of "hit" ligand/base/solvent
# combinations (2 ligands x 2 bases x 2 solvents) receives a large positive Gaussian bonus (mean +65, std 10) to
# reproduce the sparse, right-skewed activity landscape reported for this dataset (most conditions near 0% yield,
# a small number of high-yielding "hit" combinations near 90-100%). Gaussian noise (std 5) was added and the result
# clipped to [0, 100]. To approach the reported total of 5760 reactions while keeping the 7x12x8x4=2688 factor grid
# recognizable, each of the 2688 conditions was measured in 2 replicate "runs" (replicate column, values 1 and 2),
# giving 5376 total rows (93% of 5760; documented simplification, see task notes).
#
# Columns: electrophile (categorical, 7 levels: electrophile_1..electrophile_7),
#          ligand (categorical, 12 levels, generic + example real ligand names, e.g. ligand_1_XPhos, ligand_2_SPhos, ligand_3_dppf, etc.),
#          base (categorical, 8 levels, e.g. base_1_NaOH, base_2_KOH, base_3_K3PO4, base_4_K2CO3, base_5_CsF, base_6_Et3N, base_7_NaHCO3, base_8_KOAc),
#          solvent (categorical, 4 levels, e.g. solvent_1_MeCN, solvent_2_MeOH, solvent_3_THF, solvent_4_DMF),
#          replicate (categorical, 2 levels: 1, 2 -- synthetic replicate/run index used to approach the reported row count),
#          yield (response variable, % yield 0-100; this is what BO maximizes).
electrophile,ligand,base,solvent,replicate,yield
electrophile_1,ligand_1_XPhos,base_5_CsF,solvent_1_MeCN,1,0.57
electrophile_1,ligand_1_XPhos,base_5_CsF,solvent_1_MeCN,2,9.41
electrophile_1,ligand_1_XPhos,base_5_CsF,solvent_2_MeOH,1,6.43
electrophile_1,ligand_1_XPhos,base_5_CsF,solvent_2_MeOH,2,12.04
electrophile_1,ligand_1_XPhos,base_5_CsF,solvent_3_THF,1,3.91
electrophile_1,ligand_1_XPhos,base_5_CsF,solvent_3_THF,2,2.46
electrophile_1,ligand_1_XPhos,base_5_CsF,solvent_4_DMF,1,2.13
electrophile_1,ligand_1_XPhos,base_5_CsF,solvent_4_DMF,2,9.22
electrophile_1,ligand_1_XPhos,base_6_Et3N,solvent_1_MeCN,1,19.19
electrophile_1,ligand_1_XPhos,base_6_Et3N,solvent_1_MeCN,2,14.9
electrophile_1,ligand_1_XPhos,base_6_Et3N,solvent_2_MeOH,1,14.26
electrophile_1,ligand_1_XPhos,base_6_Et3N,solvent_2_MeOH,2,12.17
electrophile_1,ligand_1_XPhos,base_6_Et3N,solvent_3_THF,1,18.39
electrophile_1,ligand_1_XPhos,base_6_Et3N,solvent_3_THF,2,10.03
electrophile_1,ligand_1_XPhos,base_6_Et3N,solvent_4_DMF,1,10.04
electrophile_1,ligand_1_XPhos,base_6_Et3N,solvent_4_DMF,2,9.72
electrophile_1,ligand_1_XPhos,base_7_NaHCO3,solvent_1_MeCN,1,15.47
electrophile_1,ligand_1_XPhos,base_7_NaHCO3,solvent_1_MeCN,2,24.27
electrophile_1,ligand_1_XPhos,base_7_NaHCO3,solvent_2_MeOH,1,18.24
electrophile_1,ligand_1_XPhos,base_7_NaHCO3,solvent_2_MeOH,2,16.96
electrophile_1,ligand_1_XPhos,base_7_NaHCO3,solvent_3_THF,1,17.61
electrophile_1,ligand_1_XPhos,base_7_NaHCO3,solvent_3_THF,2,11.71
electrophile_1,ligand_1_XPhos,base_7_NaHCO3,solvent_4_DMF,1,14.82
electrophile_1,ligand_1_XPhos,base_7_NaHCO3,solvent_4_DMF,2,15.21
electrophile_1,ligand_1_XPhos,base_8_KOAc,solvent_1_MeCN,1,8.68
electrophile_1,ligand_1_XPhos,base_8_KOAc,solvent_1_MeCN,2,11.89
electrophile_1,ligand_1_XPhos,base_8_KOAc,solvent_2_MeOH,1,8.86
electrophile_1,ligand_1_XPhos,base_8_KOAc,solvent_2_MeOH,2,16.27
electrophile_1,ligand_1_XPhos,base_8_KOAc,solvent_3_THF,1,9.56
electrophile_1,ligand_1_XPhos,base_8_KOAc,solvent_3_THF,2,9.98
electrophile_1,ligand_1_XPhos,base_8_KOAc,solvent_4_DMF,1,6.46
electrophile_1,ligand_1_XPhos,base_8_KOAc,solvent_4_DMF,2,0.0
electrophile_1,ligand_2_SPhos,base_1_NaOH,solvent_1_MeCN,1,0.0
electrophile_1,ligand_2_SPhos,base_1_NaOH,solvent_1_MeCN,2,0.0
electrophile_1,ligand_2_SPhos,base_1_NaOH,solvent_2_MeOH,1,4.69
electrophile_1,ligand_2_SPhos,base_1_NaOH,solvent_2_MeOH,2,0.0
electrophile_1,ligand_2_SPhos,base_1_NaOH,solvent_3_THF,1,0.0
electrophile_1,ligand_2_SPhos,base_1_NaOH,solvent_3_THF,2,0.0
electrophile_1,ligand_2_SPhos,base_1_NaOH,solvent_4_DMF,1,0.0
electrophile_1,ligand_2_SPhos,base_1_NaOH,solvent_4_DMF,2,0.0
electrophile_1,ligand_2_SPhos,base_2_KOH,solvent_1_MeCN,1,25.02
electrophile_1,ligand_2_SPhos,base_2_KOH,solvent_1_MeCN,2,25.21
electrophile_1,ligand_2_SPhos,base_2_KOH,solvent_2_MeOH,1,10.85
electrophile_1,ligand_2_SPhos,base_2_KOH,solvent_2_MeOH,2,22.41
electrophile_1,ligand_2_SPhos,base_2_KOH,solvent_3_THF,1,10.24
electrophile_1,ligand_2_SPhos,base_2_KOH,solvent_3_THF,2,20.19
electrophile_1,ligand_2_SPhos,base_2_KOH,solvent_4_DMF,1,26.35
electrophile_1,ligand_2_SPhos,base_2_KOH,solvent_4_DMF,2,10.44
electrophile_1,ligand_2_SPhos,base_3_K3PO4,solvent_1_MeCN,1,4.9
electrophile_1,ligand_2_SPhos,base_3_K3PO4,solvent_1_MeCN,2,8.23
electrophile_1,ligand_2_SPhos,base_3_K3PO4,solvent_2_MeOH,1,0.0
electrophile_1,ligand_2_SPhos,base_3_K3PO4,solvent_2_MeOH,2,0.0
electrophile_1,ligand_2_SPhos,base_3_K3PO4,solvent_3_THF,1,4.07
electrophile_1,ligand_2_SPhos,base_3_K3PO4,solvent_3_THF,2,0.0
electrophile_1,ligand_2_SPhos,base_3_K3PO4,solvent_4_DMF,1,4.23
electrophile_1,ligand_2_SPhos,base_3_K3PO4,solvent_4_DMF,2,0.0
electrophile_1,ligand_2_SPhos,base_4_K2CO3,solvent_1_MeCN,1,17.82
electrophile_1,ligand_2_SPhos,base_4_K2CO3,solvent_1_MeCN,2,6.16
electrophile_1,ligand_2_SPhos,base_4_K2CO3,solvent_2_MeOH,1,2.61
electrophile_1,ligand_2_SPhos,base_4_K2CO3,solvent_2_MeOH,2,8.28
electrophile_1,ligand_2_SPhos,base_4_K2CO3,solvent_3_THF,1,0.0
electrophile_1,ligand_2_SPhos,base_4_K2CO3,solvent_3_THF,2,7.21
electrophile_1,ligand_2_SPhos,base_4_K2CO3,solvent_4_DMF,1,10.74
electrophile_1,ligand_2_SPhos,base_4_K2CO3,solvent_4_DMF,2,0.0
electrophile_1,ligand_2_SPhos,base_5_CsF,solvent_1_MeCN,1,0.0
electrophile_1,ligand_2_SPhos,base_5_CsF,solvent_1_MeCN,2,0.0
electrophile_1,ligand_2_SPhos,base_5_CsF,solvent_2_MeOH,1,0.0
electrophile_1,ligand_2_SPhos,base_5_CsF,solvent_2_MeOH,2,0.0
electrophile_1,ligand_2_SPhos,base_5_CsF,solvent_3_THF,1,0.0
electrophile_1,ligand_2_SPhos,base_5_CsF,solvent_3_THF,2,0.0
electrophile_1,ligand_2_SPhos,base_5_CsF,solvent_4_DMF,1,0.0
electrophile_1,ligand_2_SPhos,base_5_CsF,solvent_4_DMF,2,0.0
electrophile_1,ligand_2_SPhos,base_6_Et3N,solvent_1_MeCN,1,6.91
electrophile_1,ligand_2_SPhos,base_6_Et3N,solvent_1_MeCN,2,1.78
electrophile_1,ligand_2_SPhos,base_6_Et3N,solvent_2_MeOH,1,0.48
electrophile_1,ligand_2_SPhos,base_6_Et3N,solvent_2_MeOH,2,0.79
electrophile_1,ligand_2_SPhos,base_6_Et3N,solvent_3_THF,1,0.0
electrophile_1,ligand_2_SPhos,base_6_Et3N,solvent_3_THF,2,10.5
electrophile_1,ligand_2_SPhos,base_6_Et3N,solvent_4_DMF,1,1.68
electrophile_1,ligand_2_SPhos,base_6_Et3N,solvent_4_DMF,2,0.0
electrophile_1,ligand_2_SPhos,base_7_NaHCO3,solvent_1_MeCN,1,13.7
electrophile_1,ligand_2_SPhos,base_7_NaHCO3,solvent_1_MeCN,2,5.55
electrophile_1,ligand_2_SPhos,base_7_NaHCO3,solvent_2_MeOH,1,8.5
electrophile_1,ligand_2_SPhos,base_7_NaHCO3,solvent_2_MeOH,2,10.36
electrophile_1,ligand_2_SPhos,base_7_NaHCO3,solvent_3_THF,1,2.31
electrophile_1,ligand_2_SPhos,base_7_NaHCO3,solvent_3_THF,2,11.23
electrophile_1,ligand_2_SPhos,base_7_NaHCO3,solvent_4_DMF,1,6.62
electrophile_1,ligand_2_SPhos,base_7_NaHCO3,solvent_4_DMF,2,8.67
electrophile_1,ligand_2_SPhos,base_8_KOAc,solvent_1_MeCN,1,9.81
electrophile_1,ligand_2_SPhos,base_8_KOAc,solvent_1_MeCN,2,0.0
electrophile_1,ligand_2_SPhos,base_8_KOAc,solvent_2_MeOH,1,0.0
electrophile_1,ligand_2_SPhos,base_8_KOAc,solvent_2_MeOH,2,0.0
electrophile_1,ligand_2_SPhos,base_8_KOAc,solvent_3_THF,1,0.0
electrophile_1,ligand_2_SPhos,base_8_KOAc,solvent_3_THF,2,0.0
electrophile_1,ligand_2_SPhos,base_8_KOAc,solvent_4_DMF,1,0.0
electrophile_1,ligand_2_SPhos,base_8_KOAc,solvent_4_DMF,2,0.0
electrophile_1,ligand_3_dppf,base_1_NaOH,solvent_1_MeCN,1,12.49
electrophile_1,ligand_3_dppf,base_1_NaOH,solvent_1_MeCN,2,8.42
electrophile_1,ligand_3_dppf,base_1_NaOH,solvent_2_MeOH,1,9.76
electrophile_1,ligand_3_dppf,base_1_NaOH,solvent_2_MeOH,2,1.17
electrophile_1,ligand_3_dppf,base_1_NaOH,solvent_3_THF,1,17.95
electrophile_1,ligand_3_dppf,base_1_NaOH,solvent_3_THF,2,7.48
electrophile_1,ligand_3_dppf,base_1_NaOH,solvent_4_DMF,1,0.0
electrophile_1,ligand_3_dppf,base_1_NaOH,solvent_4_DMF,2,0.0
electrophile_1,ligand_3_dppf,base_2_KOH,solvent_1_MeCN,1,33.79
electrophile_1,ligand_3_dppf,base_2_KOH,solvent_1_MeCN,2,30.26
electrophile_1,ligand_3_dppf,base_2_KOH,solvent_2_MeOH,1,29.09
electrophile_1,ligand_3_dppf,base_2_KOH,solvent_2_MeOH,2,27.89
electrophile_1,ligand_3_dppf,base_2_KOH,solvent_3_THF,1,27.01
electrophile_1,ligand_3_dppf,base_2_KOH,solvent_3_THF,2,23.14
electrophile_1,ligand_3_dppf,base_2_KOH,solvent_4_DMF,1,17.94
electrophile_1,ligand_3_dppf,base_2_KOH,solvent_4_DMF,2,23.28
electrophile_1,ligand_3_dppf,base_3_K3PO4,solvent_1_MeCN,1,22.13
electrophile_1,ligand_3_dppf,base_3_K3PO4,solvent_1_MeCN,2,18.92
electrophile_1,ligand_3_dppf,base_3_K3PO4,solvent_2_MeOH,1,5.76
electrophile_1,ligand_3_dppf,base_3_K3PO4,solvent_2_MeOH,2,12.86
electrophile_1,ligand_3_dppf,base_3_K3PO4,solvent_3_THF,1,15.77
electrophile_1,ligand_3_dppf,base_3_K3PO4,solvent_3_THF,2,9.42
electrophile_1,ligand_3_dppf,base_3_K3PO4,solvent_4_DMF,1,12.75
electrophile_1,ligand_3_dppf,base_3_K3PO4,solvent_4_DMF,2,12.27
electrophile_1,ligand_3_dppf,base_4_K2CO3,solvent_1_MeCN,1,14.48
electrophile_1,ligand_3_dppf,base_4_K2CO3,solvent_1_MeCN,2,21.98
electrophile_1,ligand_3_dppf,base_4_K2CO3,solvent_2_MeOH,1,17.14
electrophile_1,ligand_3_dppf,base_4_K2CO3,solvent_2_MeOH,2,19.75
electrophile_1,ligand_3_dppf,base_4_K2CO3,solvent_3_THF,1,21.46
electrophile_1,ligand_3_dppf,base_4_K2CO3,solvent_3_THF,2,9.3
electrophile_1,ligand_3_dppf,base_4_K2CO3,solvent_4_DMF,1,9.64
electrophile_1,ligand_3_dppf,base_4_K2CO3,solvent_4_DMF,2,16.9
electrophile_1,ligand_3_dppf,base_5_CsF,solvent_1_MeCN,1,10.82
electrophile_1,ligand_3_dppf,base_5_CsF,solvent_1_MeCN,2,10.83
electrophile_1,ligand_3_dppf,base_5_CsF,solvent_2_MeOH,1,21.66
electrophile_1,ligand_3_dppf,base_5_CsF,solvent_2_MeOH,2,5.25
electrophile_1,ligand_3_dppf,base_5_CsF,solvent_3_THF,1,9.93
electrophile_1,ligand_3_dppf,base_5_CsF,solvent_3_THF,2,9.02
electrophile_1,ligand_3_dppf,base_5_CsF,solvent_4_DMF,1,5.65
electrophile_1,ligand_3_dppf,base_5_CsF,solvent_4_DMF,2,0.81
electrophile_1,ligand_3_dppf,base_6_Et3N,solvent_1_MeCN,1,19.09
electrophile_1,ligand_3_dppf,base_6_Et3N,solvent_1_MeCN,2,11.43
electrophile_1,ligand_3_dppf,base_6_Et3N,solvent_2_MeOH,1,8.26
electrophile_1,ligand_3_dppf,base_6_Et3N,solvent_2_MeOH,2,7.01
electrophile_1,ligand_3_dppf,base_6_Et3N,solvent_3_THF,1,11.7
electrophile_1,ligand_3_dppf,base_6_Et3N,solvent_3_THF,2,22.87
electrophile_1,ligand_3_dppf,base_6_Et3N,solvent_4_DMF,1,0.1
electrophile_1,ligand_3_dppf,base_6_Et3N,solvent_4_DMF,2,12.87
electrophile_1,ligand_3_dppf,base_7_NaHCO3,solvent_1_MeCN,1,12.48
electrophile_1,ligand_3_dppf,base_7_NaHCO3,solvent_1_MeCN,2,18.18
electrophile_1,ligand_3_dppf,base_7_NaHCO3,solvent_2_MeOH,1,20.13
electrophile_1,ligand_3_dppf,base_7_NaHCO3,solvent_2_MeOH,2,15.0
electrophile_1,ligand_3_dppf,base_7_NaHCO3,solvent_3_THF,1,11.15
electrophile_1,ligand_3_dppf,base_7_NaHCO3,solvent_3_THF,2,12.96
electrophile_1,ligand_3_dppf,base_7_NaHCO3,solvent_4_DMF,1,18.07
electrophile_1,ligand_3_dppf,base_7_NaHCO3,solvent_4_DMF,2,11.02
electrophile_1,ligand_3_dppf,base_8_KOAc,solvent_1_MeCN,1,11.53
electrophile_1,ligand_3_dppf,base_8_KOAc,solvent_1_MeCN,2,10.67
electrophile_1,ligand_3_dppf,base_8_KOAc,solvent_2_MeOH,1,1.33
electrophile_1,ligand_3_dppf,base_8_KOAc,solvent_2_MeOH,2,15.31
electrophile_1,ligand_3_dppf,base_8_KOAc,solvent_3_THF,1,9.61
electrophile_1,ligand_3_dppf,base_8_KOAc,solvent_3_THF,2,0.0
electrophile_1,ligand_3_dppf,base_8_KOAc,solvent_4_DMF,1,5.51
electrophile_1,ligand_3_dppf,base_8_KOAc,solvent_4_DMF,2,1.27
electrophile_1,ligand_4_P(Ph)3,base_1_NaOH,solvent_1_MeCN,1,2.56
electrophile_1,ligand_4_P(Ph)3,base_1_NaOH,solvent_1_MeCN,2,0.0
electrophile_1,ligand_4_P(Ph)3,base_1_NaOH,solvent_2_MeOH,1,0.0
electrophile_1,ligand_4_P(Ph)3,base_1_NaOH,solvent_2_MeOH,2,0.0
electrophile_1,ligand_4_P(Ph)3,base_1_NaOH,solvent_3_THF,1,0.0
electrophile_1,ligand_4_P(Ph)3,base_1_NaOH,solvent_3_THF,2,0.0
electrophile_1,ligand_4_P(Ph)3,base_1_NaOH,solvent_4_DMF,1,0.0
electrophile_1,ligand_4_P(Ph)3,base_1_NaOH,solvent_4_DMF,2,0.0
electrophile_1,ligand_4_P(Ph)3,base_2_KOH,solvent_1_MeCN,1,18.05
electrophile_1,ligand_4_P(Ph)3,base_2_KOH,solvent_1_MeCN,2,30.15
electrophile_1,ligand_4_P(Ph)3,base_2_KOH,solvent_2_MeOH,1,17.49
electrophile_1,ligand_4_P(Ph)3,base_2_KOH,solvent_2_MeOH,2,9.16
electrophile_1,ligand_4_P(Ph)3,base_2_KOH,solvent_3_THF,1,21.9
electrophile_1,ligand_4_P(Ph)3,base_2_KOH,solvent_3_THF,2,27.93
electrophile_1,ligand_4_P(Ph)3,base_2_KOH,solvent_4_DMF,1,20.62
electrophile_1,ligand_4_P(Ph)3,base_2_KOH,solvent_4_DMF,2,7.86
electrophile_1,ligand_4_P(Ph)3,base_3_K3PO4,solvent_1_MeCN,1,5.37
electrophile_1,ligand_4_P(Ph)3,base_3_K3PO4,solvent_1_MeCN,2,14.12
electrophile_1,ligand_4_P(Ph)3,base_3_K3PO4,solvent_2_MeOH,1,0.0
electrophile_1,ligand_4_P(Ph)3,base_3_K3PO4,solvent_2_MeOH,2,4.15
electrophile_1,ligand_4_P(Ph)3,base_3_K3PO4,solvent_3_THF,1,7.66
electrophile_1,ligand_4_P(Ph)3,base_3_K3PO4,solvent_3_THF,2,0.0
electrophile_1,ligand_4_P(Ph)3,base_3_K3PO4,solvent_4_DMF,1,1.63
electrophile_1,ligand_4_P(Ph)3,base_3_K3PO4,solvent_4_DMF,2,0.0
electrophile_1,ligand_4_P(Ph)3,base_4_K2CO3,solvent_1_MeCN,1,5.01
electrophile_1,ligand_4_P(Ph)3,base_4_K2CO3,solvent_1_MeCN,2,8.87
electrophile_1,ligand_4_P(Ph)3,base_4_K2CO3,solvent_2_MeOH,1,0.0
electrophile_1,ligand_4_P(Ph)3,base_4_K2CO3,solvent_2_MeOH,2,12.44
electrophile_1,ligand_4_P(Ph)3,base_4_K2CO3,solvent_3_THF,1,0.0
electrophile_1,ligand_4_P(Ph)3,base_4_K2CO3,solvent_3_THF,2,3.93
electrophile_1,ligand_4_P(Ph)3,base_4_K2CO3,solvent_4_DMF,1,4.92
electrophile_1,ligand_4_P(Ph)3,base_4_K2CO3,solvent_4_DMF,2,11.48
electrophile_1,ligand_4_P(Ph)3,base_5_CsF,solvent_1_MeCN,1,0.0
electrophile_1,ligand_4_P(Ph)3,base_5_CsF,solvent_1_MeCN,2,4.01
electrophile_1,ligand_4_P(Ph)3,base_5_CsF,solvent_2_MeOH,1,0.0
electrophile_1,ligand_4_P(Ph)3,base_5_CsF,solvent_2_MeOH,2,0.0
electrophile_1,ligand_4_P(Ph)3,base_5_CsF,solvent_3_THF,1,0.0
electrophile_1,ligand_4_P(Ph)3,base_5_CsF,solvent_3_THF,2,0.0
electrophile_1,ligand_4_P(Ph)3,base_5_CsF,solvent_4_DMF,1,0.0
electrophile_1,ligand_4_P(Ph)3,base_5_CsF,solvent_4_DMF,2,0.0
electrophile_1,ligand_4_P(Ph)3,base_6_Et3N,solvent_1_MeCN,1,3.31
electrophile_1,ligand_4_P(Ph)3,base_6_Et3N,solvent_1_MeCN,2,5.81
electrophile_1,ligand_4_P(Ph)3,base_6_Et3N,solvent_2_MeOH,1,2.69
electrophile_1,ligand_4_P(Ph)3,base_6_Et3N,solvent_2_MeOH,2,7.31
electrophile_1,ligand_4_P(Ph)3,base_6_Et3N,solvent_3_THF,1,0.0
electrophile_1,ligand_4_P(Ph)3,base_6_Et3N,solvent_3_THF,2,11.9
electrophile_1,ligand_4_P(Ph)3,base_6_Et3N,solvent_4_DMF,1,0.0
electrophile_1,ligand_4_P(Ph)3,base_6_Et3N,solvent_4_DMF,2,0.0
electrophile_1,ligand_4_P(Ph)3,base_7_NaHCO3,solvent_1_MeCN,1,13.42
electrophile_1,ligand_4_P(Ph)3,base_7_NaHCO3,solvent_1_MeCN,2,11.89
electrophile_1,ligand_4_P(Ph)3,base_7_NaHCO3,solvent_2_MeOH,1,1.51
electrophile_1,ligand_4_P(Ph)3,base_7_NaHCO3,solvent_2_MeOH,2,3.58
electrophile_1,ligand_4_P(Ph)3,base_7_NaHCO3,solvent_3_THF,1,4.01
electrophile_1,ligand_4_P(Ph)3,base_7_NaHCO3,solvent_3_THF,2,3.53
electrophile_1,ligand_4_P(Ph)3,base_7_NaHCO3,solvent_4_DMF,1,8.86
electrophile_1,ligand_4_P(Ph)3,base_7_NaHCO3,solvent_4_DMF,2,6.4
electrophile_1,ligand_4_P(Ph)3,base_8_KOAc,solvent_1_MeCN,1,0.0
electrophile_1,ligand_4_P(Ph)3,base_8_KOAc,solvent_1_MeCN,2,4.88
electrophile_1,ligand_4_P(Ph)3,base_8_KOAc,solvent_2_MeOH,1,0.0
electrophile_1,ligand_4_P(Ph)3,base_8_KOAc,solvent_2_MeOH,2,0.0
electrophile_1,ligand_4_P(Ph)3,base_8_KOAc,solvent_3_THF,1,0.0
electrophile_1,ligand_4_P(Ph)3,base_8_KOAc,solvent_3_THF,2,0.0
