smiles,E_gas_hartree,E_solv_hartree,dG_solv_kcal
CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,-61.884062036122,-61.906072237234,-13.811599289587656
CCCCCCCCBr,-29.895350992706,-29.89845569986,-1.9482316815003735
Cc1ccc(O)cc1C,-26.294823659121,-26.302143173792,-4.593061331684472
Oc1c(Cl)ccc(Cl)c1Cl,-32.099461079846,-32.108322411809,-5.560565558768347
Cc2ncc1nccnc1n2,-29.726886620073,-29.740151948986,-8.324113280868014
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-52.209543610269,-52.220309571231,-6.755737397301916
O=C1CNC(=O)N1 ,-22.48333952866,-22.499402296509,-10.079531390158255
Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O ,-65.719070843278,-65.747320645653,-17.72700523853441
Clc1ccc(Cl)c(Cl)c1,-28.029172245373,-28.033782672456,-2.8930844884249036
CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-81.893005588294,-81.909100834892,-10.09991209746368
CCC(C)(C)CO,-24.05194709836,-24.059527192438,-4.756577254792524
CCCOC(=O)CCC,-30.280707747066,-30.28704169182,-3.974607338638384
c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,-42.197287824171,-42.203976164747,-4.19699390650399
NC(=O)c1ccccc1,-25.53115681209,-25.544401640132,-8.311248799808284
O=C1CCCN1,-19.142081829893,-19.152539480748,-6.562270030369533
CC(=O)Nc1ccc(F)cc1,-32.939437200011,-32.951409847011,-7.512943746323211
OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,-119.944480010432,-119.999905641539,-34.78008235032194
Cc1ccc(cc1)S(=O)(=O)N,-33.850282531312,-33.874676710305,-15.30756686572234
NS(=O)(=O)c2cc1c(NC(NS1(=O)=O)C(Cl)Cl)cc2Cl ,-66.377012296634,-66.420622115852,-27.36555404766246
Cc1ccc2c(ccc3ccccc32)c1,-38.242784907986,-38.245378311495,-1.6273840425310684
Cc1ccc(Br)cc1,-22.632524070388,-22.636227581275,-2.3239864131905144
Oc1ccc(Cl)c(Cl)c1,-28.053682922377,-28.064454067599,-6.758990567113016
NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,-65.497436013995,-65.535551904585,-23.918064388244407
CNC(=O)C(C)SCCSP(=O)(OC)(OC),-54.635890808494,-54.654702410611,-11.804449632839448
CCCC(O)CC,-24.054927637189,-24.060523414611,-3.5114006943029916
O=C1N(COC(=O)CCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-75.20185967358,-75.219806140231,-11.261569341700598
Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,-89.349834736061,-89.363011732468,-8.268683838358552
C1Cc2c3c1cccc3cc4c2ccc5ccccc54,-49.988187951179,-49.991668881503,-2.18431510668444
Cc1ncc(N(=O)=O)n1CCO,-38.328233793426,-38.347568870198,-12.132934690122184
ClCc1ccccc1,-23.091638255518,-23.095253686032,-2.2687151864093025
c2c(C)cc1nc(C)ccc1c2 ,-32.090533612164,-32.095494723836,-3.113142224182454
Cc1c[nH]c(=O)[nH]c1=O ,-27.785968313318,-27.803268298988,-10.85589670779618
CCCC(=O)C,-19.861788033164,-19.866800275254,-3.145227021653989
COc1ncnc2nccnc12 ,-33.80007066509,-33.814249342456,-8.897247655264069
Nc1ncnc2nc[nH]c12 ,-27.888491624023,-27.913503563162,-15.695216917173926
CCCOCCC,-24.049131704923,-24.051615027048,-1.5583069833378915
Cc1ccccc1Cl,-23.103746958309,-23.106587813749,-1.7826623563004305
OC(C(=O)c1ccccc1)c2ccccc2,-44.187564691406,-44.197746611506,-6.389246500028091
c1(Br)c(Br)cc(Br)cc1,-26.613692330046,-26.617265600444,-2.242259334178746
CCCCCCCCC(=O)C,-35.681550510876,-35.68708106111,-3.4704700467865197
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,-46.632785623122,-46.646285001788,-8.470981607325944
CCOc1ccc(NC(=O)C)cc1,-39.108863891206,-39.120466991861,-7.28105008891946
Brc1ccc(Br)cc1,-23.040008350412,-23.043645702575,-2.2824712184522364
Oc1cc(Cl)cc(Cl)c1Cl,-32.103080629799,-32.110959284202,-4.943926545772724
ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl,-35.827735061333,-35.828760955761,-0.643757986617864
CC(C)C(=O)C,-19.862893710672,-19.867670547671,-2.9975082084052125
c2ccc1[nH]ncc1c2 ,-23.874496116751,-23.882137592979,-4.795095106355313
Cc1ccccc1N,-22.485934442784,-22.49122392358,-3.3191968048181404
O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C,-52.947347220397,-52.960599373774,-8.315845513449863
CCC1(CC)C(=O)NC(=O)N(C)C1=O ,-44.530567013238,-44.542574580115,-7.534856283421133
Cc1ccc(C)cc1,-22.220957585776,-22.222333017156,-0.8630955698332996
CCCI,-13.803987584403,-13.807478625205,-2.1906595226224415
Cc1cc(cc(N(=O)=O)c1O)N(=O)=O,-44.046429457225,-44.063969428455,-11.006489806566458
Nc2nc1[nH]cnc1c(=O)[nH]2 ,-31.983682089938,-32.014273986169,-19.19669021201963
CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,-61.569431935607,-61.588032311368,-11.671903193411746
CC(C)(C)Cc1ccccc1,-31.714397523215,-31.715708043556,-0.8223633086609793
CCCCOC(=O)c1ccccc1C(=O)OCCCC ,-61.776011740301,-61.789932003648,-8.735090532610341
COc2ccc(Oc1ccc(NC(=O)N(C)C)cc1)cc2,-61.509846195991,-61.525536027145,-9.845510257614771
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-81.534806712425,-81.552344182574,-11.004920355734193
O2c1ccccc1N(CC)C(=O)c3ccccc23 ,-49.819568951315,-49.829238727012,-6.06787127784801
Clc1cccc(I)c1,-23.238736141308,-23.243785504472,-3.168520829679492
CCCCCCCCO,-30.37552919838,-30.382560891114,-4.412450475819297
Cc3cc2nc1c(=O)[nH]c(=O)nc1n(CC(O)C(O)C(O)CO)c2cc3C,-82.771562572493,-82.811600552346,-25.124192699574195
COc1ccccc1O,-27.187138220258,-27.194315199604,-4.503619132428648
CCCC=C(CC)C=O,-28.294805578027,-28.299704151599,-3.073899003591847
Cc1cccc(C)n1,-22.495627995217,-22.499502496435,-2.431284384806055
CCN2c1nc(C)cc(C)c1NC(=O)c3cccnc23 ,-56.094337094433,-56.106961070667,-7.921658702618822
CCC(=O)CC,-19.860438093188,-19.86515776217,-2.9616347632248226
Nc1c(C)c[nH]c(=O)n1 ,-27.13368617588,-27.158324364836,-15.460685313590956
Brc1cccc2ccccc12,-29.056154653555,-29.059738044415,-2.2486100151662294
CCCCl,-14.542665285196,-14.545549704696,-1.8099991960260309
c2ccc1[nH]ccc1c2,-23.617247358199,-23.621677782266,-2.7801309758609873
ClCC#CCOC(=O)Nc1cccc(Cl)c1,-48.269031760277,-48.284494493623,-9.703004339214148
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-48.967890133471,-48.971084286902,-2.004360025331178
Oc1c(Cl)c(Cl)cc(Cl)c1Cl,-36.144145339012,-36.152680619028,-5.355965027558968
CCCC,-13.665127571292,-13.665216823349,-0.0560064690361174
c1ccc2cc3c4cccc5cccc(c3cc2c1)c45,-48.955704943382,-48.959043739368,-2.0951245303766854
O=N(=O)c1ccccc1,-26.340040659445,-26.3487150502,-5.443258268279842
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O ,-50.01698984994,-50.028240166206,-7.059674709757238
Cc1cncc(C)c1,-22.493325536447,-22.498415735081,-3.1941454546232344
O=C1NC(=O)NC(=O)C1(CC)C(C)C,-44.523700028317,-44.537075034455,-8.392936726649282
C1CCC2CCCCC2C1,-30.625336683302,-30.62577268199,-0.273593100708913
CCN2c1ncccc1N(CC)C(=O)c3cccnc23 ,-56.081698552176,-56.092742212841,-6.929996460235129
O=C1NC(=O)NC(=O)C1(C)CC=C,-40.306715931257,-40.320174185892,-8.445175907752647
Fc1ccccc1,-20.11021530052,-20.11331335499,-1.9440570624161355
CCOP(=O)(OCC)OCC,-39.433627111176,-39.446233424496,-7.910575065119362
CC(C)Br,-14.079526691462,-14.08258023757,-1.9161276646844945
CCCBr,-14.076726809117,-14.079262808288,-1.5913623037951106
CC(C)C(C)C,-19.994759695826,-19.99508157785,-0.2019838669982632
CC(C)OC(C)C,-24.055472881249,-24.058348493668,-1.804472673434498
CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2,-56.528942197373,-56.541583794338,-7.932715869912694
Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-57.324633910364,-57.332325225986,-4.826369774643916
Clc1cccc(Cl)c1Cl,-28.027153908342,-28.032666720415,-3.459339191116384
CCC2NC(=O)c1cc(c(Cl)cc1N2)S(N)(=O)=O,-56.319767920741,-56.359116193964,-24.691395581890497
CCCCCCCI,-26.455262592982,-26.458826884976,-2.2366253048626614
CCc1ccc(CC)cc1,-28.549894264195,-28.551235351089,-0.8415440957679021
C1c2ccccc2c3cc4ccccc4cc13,-42.529427427535,-42.532484837058,-1.9185519923696277
CC(C)(C)c1ccc(O)cc1,-32.619379627264,-32.626596978557,-4.528952892515129
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-55.06013571385,-55.06792683297,-4.888997367872199
Oc1ccc(O)cc1,-24.026518233745,-24.039404936198,-8.086521769578844
Nc1cccc(Cl)c1,-23.370474275134,-23.378629854201,-5.117699264754686
Cc1ccccc1,-19.050406917915,-19.051547229155,-0.7155555658991553
Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c2ccccc2,-75.929663314416,-75.958186881111,-17.898794813212827
Cc1cccc(O)c1,-23.12489731128,-23.131956268398,-4.429559122157793
O=C1NC(=O)c2ccccc12 ,-30.748730343244,-30.758948822834,-6.412187909042283
c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,-54.262424793137,-54.266099101826,-2.305661771125621
C1CCC=CC1,-17.931438647529,-17.931871801263,-0.2718078664690883
O=Cc1ccco1,-20.835713987565,-20.840331379088,-2.897454737205303
c1(C(C)(C)C)cc(C(C)(C)C)cc(OC(=O)NC)c1,-58.12233934452,-58.13496539682,-7.922961452720645
CC(C)OC(=O)C,-23.95663221431,-23.963699994739,-4.4350958292195655
c1ccc2c(c1)cnc3ccccc23 ,-35.344015856494,-35.349245283244,-3.281512350465011
CCN2c1ncccc1N(C)C(=S)c3cccnc23 ,-52.08826769032,-52.097977705084,-6.093121654540589
CCS,-10.578266098558,-10.579223396713,-0.6007132079452732
Cc1ccc2ccccc2c1,-28.645525721984,-28.647405309873,-1.1794583166387105
Cc1cc2c3ccccc3ccc2c4ccccc14,-47.836094309043,-47.839387243015,-2.066345703834794
COC(=O)C=C,-19.722997851469,-19.729885430149,-4.322017609908542
CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,-57.28380272948,-57.297421803855,-8.546091741982284
Nc1ccc(O)cc1,-23.389049356975,-23.400392077656,-7.117659311813738
CCSC(=O)N(CC)C1CCCCC1 ,-44.552471766054,-44.560454270771,-5.009093552459336
OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,-63.182398360938,-63.199843470699,-10.946963381014651
CNC(=O)Oc1ccccc1C(C)C,-42.289632688949,-42.302034128769,-7.7820151000103825
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-72.494858902803,-72.51198300589,-10.745528804019845
CCN(=O)=O,-17.789234766378,-17.796857627212,-4.783413779080897
CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12,-63.139472479903,-63.162478982039,-14.43678714885865
CC(C)C=C,-15.77092550024,-15.771447611589,-0.3276295704993195
ClC=C,-10.321898833563,-10.324281615585,-1.495217163843154
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-72.505450082865,-72.521143388637,-9.847690611684394
COc1ccccc1,-23.113194702622,-23.115604141903,-1.5119448337805503
CCSCCSP(=S)(OC)OC,-40.9815406954,-40.988216775611,-4.189300417125076
CC(=O)Nc1ccccc1,-28.709959285166,-28.71976965258,-6.156093845590325
C=CC#N,-10.791133111233,-10.800142888059,-5.653716046306305
CCCCC(=O)OC,-27.112366069059,-27.118861246968,-4.075782594497918
Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2,-62.582334556639,-62.606374023147,-15.084981588968809
CC34CCC1C(CCc2cc(O)ccc12)C3CC(O)C4O ,-63.042559700807,-63.059802116811,-10.819771224255502
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-74.43481857839,-74.450378477927,-9.763976998569529
CCNc1nc(Cl)nc(n1)N(CC)CC,-46.681819009155,-46.69892923899,-10.736823213529686
c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,-48.95889283506,-48.962231926868,-2.0953101613472924
NC(=O)c1cnccn1,-26.069963589648,-26.087230456514,-10.83511436021602
o1c2ccccc2c3ccccc13,-33.848936819131,-33.851004670313,-1.2975952273688651
ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl,-70.969862560523,-70.969268011747,0.3730847078746389
CCCC=C,-15.769405406303,-15.770000297013,-0.3732992745422023
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C(C)C,-52.967554353556,-52.981798629065,-8.93841108037721
CCCCc1c(C)nc(NCC)[nH]c1=O,-46.134535046047,-46.152101876311,-11.023344092133607
Cc1cc(C)cc(O)c1,-26.295427470559,-26.302810483761,-4.632907231372891
CCCOC,-17.718947542346,-17.72121155621,-1.420689075784771
Brc1ccc2ccccc2c1,-29.05631145944,-29.06003322534,-2.3354415981430696
CSc1nc(nc(n1)N(C)C)N(C)C,-42.710250027411,-42.725362333317,-9.483107966768914
c1ccc2c3c(ccc2c1)c4cccc5cccc3c45,-48.951439667096,-48.954802675218,-2.1103178636287736
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-55.192792098558,-55.203480042873,-6.706781249158185
CC1=C(CCCO1)C(=O)Nc2ccccc2 ,-46.548373617105,-46.559094756755,-6.727611620633097
Clc1cccc(Cl)c1c2c(Cl)cccc2Cl ,-46.972427111435,-46.979658822272,-4.537963635613308
Nc1ccc(cc1)c2ccc(N)cc2,-37.640678899645,-37.651970637496,-7.085667127140801
COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,-83.856753460466,-83.874646398296,-11.227979524764432
CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-72.53820522702,-72.552633533041,-9.053891882933488
CCOP(=S)(OCC)N2C(=O)c1ccccc1C2=O,-57.927751149165,-57.943610185495,-9.95168802840153
NC(=N)NS(=O)(=O)c1ccc(N)cc1 ,-43.131737928235,-43.166957319146,-22.10048477117245
CCCC(O)CCC,-27.212014471779,-27.218640358548,-4.157803580529048
CCCN(CCC)c1c(cc(cc1N(=O)=O)S(N)(=O)=O)N(=O)=O,-74.015630032761,-74.046317812959,-19.25685826427173
C=Cc1ccccc1,-21.158608393843,-21.159974529923,-0.857262685425641
CC(C)(C)CO,-20.892531468059,-20.898096224067,-3.491934477823441
COc2cc1c(N)nc(nc1c(OC)c2OC)N3CCN(CC3)C(=O)OCC(C)(C)O ,-96.730784988727,-96.76192662344,-19.541656057125643
Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,-55.059414733297,-55.067084571534,-4.8128925222614685
Ic1cccc2ccccc12,-28.78258526714,-28.78710933664,-2.8388943278757472
CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-49.797824645613,-49.811915920684,-8.842401928529984
CCCC(=O)CCC,-26.190009865857,-26.194888135378,-3.061158028853684
C1CCCCCC1,-22.140456150294,-22.140665573455,-0.1314149183356213
OC1CCCCCCC1,-29.349221908588,-29.355593764187,-3.998396735072472
CC(C)=CCCC(C)=CC(=O),-33.583109314305,-33.589097223707,-3.757467040940804
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,-51.020414869938,-51.02716547736,-4.236066912771282
CN(C)C(=O)NC1CC2CC1C3CCCC23,-49.040389000452,-49.052355155179,-7.508869786584082
CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,-48.024296053996,-48.047786451425,-14.740435800274744
ClC(Cl)CC(=O)NC2=C(Cl)C(=O)c1ccccc1C2=O,-60.672402758061,-60.691510422365,-11.99023131974
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-71.535265776038,-71.55448704525,-12.061519421950791
CCCCCC(=O)OC,-30.275783862227,-30.282088648728,-3.9563102724545978
Clc1ccc(cc1)c2ccc(Cl)cc2 ,-38.872153778862,-38.877935873515,-3.6283164336094136
CCNc1nc(NC(C)C)nc(SC)n1,-45.870737111368,-45.887241032692,-10.356359166103257
ClCCBr,-14.950349742386,-14.953466529494,-1.9558119613531408
Cc1cccc(c1)N(=O)=O,-29.512037056926,-29.521229065118,-5.768067868552928
Nc1ccccc1,-19.316691776296,-19.322189248343,-3.4497131867413526
COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,-54.438041417928,-54.453444444355,-9.665537710181583
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-55.062211936783,-55.069137243042,-4.345692005278418
CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 ,-90.137799479457,-90.157115161026,-12.12076402568001
CCCC1C(=O)N3N(C1=O)c2cc(C)ccc2N=C3N(C)C ,-64.350044859236,-64.364309599665,-8.951253001869548
CCOC(=O)c1ccccc1,-32.501289535868,-32.508814960942,-4.722271962760807
CC(=O)SC4CC1=CC(=O)CCC1(C)C5CCC2(C)C(CCC23CCC(=O)O3)C45,-87.31598287053,-87.33453343729,-11.640647597008712
c2ccc1[nH]nnc1c2,-24.130037327563,-24.142349667679,-7.726104233851545
c1ccc2ccccc2c1,-25.47438610031,-25.475922575629,-0.9641520909503204
CCCCCCCO,-27.208505737508,-27.216245297843,-4.856643766255868
CCCCCCCl,-24.032054113275,-24.035173085164,-1.957182931095692
c1ccccc1n2ncc(N)c(Br)c2(=O),-42.39802346478,-42.415715661491,-11.102012665920515
Oc1ccccc1N(=O)=O,-30.421048214488,-30.4320106704,-6.879039746883669
Cc1ccccc1O,-23.124117485025,-23.131062495772,-4.358056748839044
CCN2c1cc(N(C)C)cc(C)c1NC(=O)c3cccnc23 ,-62.407493539227,-62.422832406741,-9.625277414844884
CC12CCC(CC1)C(C)(C)O2 ,-34.699263173399,-34.701770267455,-1.5732240839864504
CCCC(=C)C,-18.940551981044,-18.941286005796,-0.4606071381044511
O=C1NC(=O)C(=O)N1 ,-25.51830819707,-25.531554244127,-8.31201374269251
O=N(=O)c1cc(Cl)c(Cl)cc1,-34.43506459894,-34.444244265273,-5.760323240952785
CC1(C)C2CCC1(C)C(=O)C2,-33.666655077457,-33.671531695806,-3.060121903563682
c1cc2ccc3cccc4ccc(c1)c2c34,-39.379139539328,-39.381619248934,-1.5560400951513649
OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,-76.038640225462,-76.057444242915,-11.799690187910244
